Feature,Importance
Cumulative_Delay,0.08330496182117497
Operational_Efficiency_Score,0.03609127816126758
Daily_Flight_Sequence,0.033807416902448324
Prev_Flight_ArrTime,0.031240765597952844
FlightNum,0.029166157719039916
DepTime,0.028495885516373696
Prev_Flight_ArrDelay,0.02837246339868126
Carrier_Avg_ArrDelay,0.02537773665375054
Carrier_Delay_Rate,0.024637259433849184
CRSDepTime,0.024064293797704174
DepDelay,0.023440331541494712
ArrTime,0.022049965490362946
CRSArrTime,0.021351355646818438
TaxiOut,0.02069573694341863
Route_Delay_Rate,0.020624942650752993
Route_Avg_ArrDelay,0.01970366079152167
Total_Taxi_Time,0.01945007382394226
Route_Flight_Count,0.01925297318583648
Incoming_Delay_Risk,0.019188264167612122
Carrier_Std_ArrDelay,0.018877581027363057
AirTime_Efficiency_Score,0.01854580654599477
Dest_Avg_ArrDelay,0.018144974281416624
AirTime_Deviation,0.017760502508954716
ArrDelay,0.017302969667654135
Route_Std_ArrDelay,0.01717039127446089
Schedule_Adherence_Score,0.016230289458782448
Expected_AirTime,0.016179678137433807
TaxiOut_Efficiency_Score,0.015733318029174753
Distance,0.01530053667158179
AirTime,0.015280251664686932
CRSElapsedTime,0.015163222527756705
Carrier_Avg_Efficiency,0.014686784096699428
ActualElapsedTime,0.01438965686323943
Total_Taxi_Deviation,0.014295448175614888
DayofMonth,0.013381940268201655
Origin_Avg_DepDelay,0.013260141572336522
Origin_Std_TaxiOut,0.013203427558544862
Dest_Std_TaxiIn,0.012179495439992853
Dest_Avg_TaxiIn,0.012119096765341
Origin_Avg_TaxiOut,0.011916559565646325
TaxiOut_Deviation,0.010773793177195314
TaxiIn_Efficiency_Score,0.010325060286822443
TaxiIn,0.010312819732414748
Elapsed_Time_Deviation,0.00997844151087821
Delay_Recovery,0.009814153635017026
Is_DepDelayed_15min,0.009579794346231234
Recovery_Rate,0.009459594226030805
Total_Taxi_Expected,0.0073837864481138
Total_Delay_Attributed,0.006906905250852857
TaxiIn_Deviation,0.0066559687470995705
Is_Peak_Season,0.006538807545300773
TaxiOut_Airport_Median,0.005913151237611578
Is_DepDelayed,0.005912621344818832
Is_ArrDelayed_15min,0.00553475127503544
TaxiIn_Airport_Median,0.004217001379241262
Cascade_Risk_Score,0.0033241715625222067
Turnaround_Minutes,0.0028566119931635074
Turnaround_Time,0.0027752898513778075
Is_Holiday_Season,0.002345699898410776
NASDelay,0.002103912370717701
LateAircraftDelay,0.001899904339500269
NASDelay_Pct,0.0018773169143855566
LateAircraftDelay_Pct,0.0016841624315825756
Cascade_Contribution_Pct,0.00165361113543292
Is_Weekend,0.0016332799248614264
Is_ArrDelayed,0.0016043953699185875
CarrierDelay,0.001486807302210408
CarrierDelay_Pct,0.0013615885098638212
Is_Valid_Rotation,0.0008406839290678844
Made_Up_Time,0.0007915025986744582
Is_Cascade_Victim,0.0004456202850374443
WeatherDelay,0.00026174786248778193
WeatherDelay_Pct,0.000247357915572532
Is_Quick_Turnaround,4.305728528105919e-05
Is_Tight_Turnaround,1.3652484953462942e-05
SecurityDelay,5.380547433723146e-06
SecurityDelay_Pct,0.0
